0,81.0148,-127.374
0.025025,81.1549,-127.293
0.05005,81.6577,-127.004
0.075075,82.1389,-126.689
0.1001,82.5142,-126.604
0.125125,82.9926,-126.443
0.15015,83.0319,-126.458
0.175175,83.0327,-126.45
0.2002,83.0631,-126.455
0.225225,83.0851,-126.457
0.25025,83.0896,-126.47
0.275275,83.0353,-126.473
0.3003,82.9867,-126.493
0.325325,82.9276,-126.506
0.35035,82.9553,-126.507
0.375375,82.98,-126.529
0.4004,83.0051,-126.518
0.425425,82.8482,-126.518
0.45045,82.575,-126.543
0.475475,81.9765,-126.553
0.5005,80.74,-127.018
0.525525,78.6622,-127.523
0.55055,74.9659,-128.462
0.575575,69.9278,-129.97
0.6006,63.853,-131.525
0.625625,56.7322,-133.388
0.65065,48.5862,-135.233
0.675675,39.5246,-136.997
0.7007,29.2518,-138.298
0.725725,18.9271,-139.633
0.75075,7.71223,-140.542
0.775775,-4.11514,-140.752
0.8008,-15.639,-140.739
0.825825,-26.5768,-140.143
0.85085,-39.2761,-138.594
0.875875,-50.4811,-137.098
0.9009,-61.4007,-134.982
0.925925,-72.0535,-132.613
0.95095,-81.3192,-130.345
0.975975,-89.9793,-127.962
1.001,-97.7859,-125.747
1.02602,-104.066,-123.601
1.05105,-109.634,-121.656
1.07607,-113.829,-120.238
1.1011,-116.845,-119.288
1.12613,-118.261,-119.097
1.15115,-118.556,-119.072
1.17617,-117.111,-119.99
1.2012,-114.766,-121.075
1.22622,-110.928,-122.384
1.25125,-105.447,-124.398
1.27628,-98.9145,-126.59
1.3013,-91.0728,-128.871
1.32632,-82.1443,-131.203
1.35135,-71.9612,-133.319
1.37637,-60.3113,-135.61
1.4014,-48.7851,-138.037
1.42643,-37.2948,-138.857
1.45145,-24.5722,-139.421
1.47647,-11.5115,-139.803
1.5015,1.55428,-139.931
1.52652,14.0144,-139.468
1.55155,26.0076,-138.748
1.57658,37.3192,-137.776
1.6016,48.0472,-136.475
1.62662,57.6879,-134.917
1.65165,65.9212,-133.802
1.67667,73.0142,-132.277
1.7017,78.7674,-131.267
1.72673,82.9976,-130.399
1.75175,85.9478,-129.608
